AwnsTime,Date,Nombre,Inbox,Opened,NoLead,NoInbox,Pain,Qualify,Offer,Goal,Follow,AnFollows,Win,CAM,Recom,N-Offer,Min,Link,Delay,Vehiculo
3600,27/7/2025,Laura,157,104,21,,,,3,2,39,8,,,,,,,,0
3600,26/7/2025,Elias,118,95,21,,,,5,5,43,10,,,,,,,,0
3600,25/7/2025,Laura,31,24,7,,,,5,1,34,10,,,,,,,,0
3600,25/7/2025,Elias,30,24,5,,,,5,1,28,6,,,,,,,,0
3600,24/7/2025,Laura,52,34,5,,,,5,5,35,7,,,,,,,,0
3600,24/7/2025,Elias,52,45,6,,,,11,5,26,6,,,,,,,,0
3600,23/7/2025,Laura,42,40,10,,,,3,3,9,9,,,,,,,,0
3600,23/7/2025,Elias,43,35,17,,,,5,3,33,10,,,,,,,,0
3600,22/7/2025,Elias,41,26,16,,,,4,2,29,7,,,,,,,,0
3600,22/7/2025,Laura,41,24,12,,,,3,0,40,11,,,,,,,,0
3600,21/7/2025,Elias,41,38,15,,,,5,3,14,4,,,,,,,,0
3600,21/7/2025,Laura,40,36,13,,,,2,2,26,5,,,,,,,,0
3600,20/7/2025,Laura,82,34,19,,,,5,2,58,9,,,,,,,,0
3600,19/7/2025,Elias,71,43,14,,,,3,1,18,6,,,,,,,,0
3600,18/7/2025,Laura,22,17,9,,,,4,3,41,8,,,,,,,,0
3600,18/7/2025,Elias,22,10,7,,,,3,5,28,5,,,,,,,,0
3600,17/7/2025,Laura,27,25,12,,,,7,3,19,7,,,,,,,,0
3600,17/7/2025,Elias,27,14,11,,,,2,1,26,9,,,,,,,,0
3600,16/7/2025,Laura,38,23,9,,,,2,3,14,9,,,,,,,,0
3600,16/7/2025,Elias,38,32,12,,,,11,3,32,10,,,,,,,,0
3600,15/7/2025,Laura,33,22,12,,,,5,3,31,12,,,,,,,,0
3600,15/7/2025,Elias,34,35,15,,,,5,5,37,12,,,,,,,,0
3600,14/7/2025,Laura,30,29,10,,,,5,3,56,16,,,,,,,,0
3600,14/7/2025,Elias,31,43,14,,,,12,3,21,4,,,,,,,,0
3600,13/7/2025,Laura,72,69,20,,,,5,3,47,12,,,,,,,,0
3600,12/7/2025,Elias,51,59,20,,,,11,6,28,11,,,,,,,,0
3600,11/7/2025,Laura,29,31,10,,,,6,1,39,8,,,,,,,,0
3600,11/7/2025,Elias,29,58,10,,,,3,1,28,6,,,,,,,,0
3600,10/7/2025,Elias,170,26,6,,,,5,2,30,8,,,,,,,,0
3600,10/7/2025,Laura,170,30,7,,,,5,0,23,5,,,,,,,,0
3600,9/7/2025,Laura,,40,13,,,,1,2,29,6,,,,,,,,0
3600,8/7/2025,Laura,,14,8,,,,3,1,24,3,,,,,,,,0
3600,9/7/2025,Elias,,30,9,,,,3,3,35,11,,,,,,,,0
3600,8/7/2025,Elias,,33,16,,,,7,3,0,5,,,,,,,,0
3600,5/7/2025,Elias,,56,30,,,,2,0,30,8,,,,,,,,0
3600,4/7/2025,Laura,71,43,34,,,,4,3,32,10,,,,,,,,0
3600,4/7/2025,Elias,71,55,35,,,,4,2,41,11,,,,,,,,0
3600,3/7/2025,Laura,131,34,49,,,,10,6,14,5,,,,,,,,0
3600,3/7/2025,Elias,131,35,51,,,,1,1,58,15,,,,,,,,0
3600,2/7/2025,Laura,120,46,29,,,,2,1,45,9,,,,,,,,0
3600,2/7/2025,Elias,120,66,44,,,,10,2,60,18,,,,,,,,0
3600,1/7/2025,Laura,141,86,21,,,,2,2,10,4,,,,,,,,0
3600,1/7/2025,Elias,141,64,15,,,,5,2,66,18,,,,,,,,0
3600,30/6/2025,Laura,132,76,18,,,,7,2,34,12,,,,,,,,0
3600,30/6/2025,Elias,132,97,30,,,,7,8,18,10,,,,,,,,0
3600,28/6/2025,Elias,159,73,14,,,,9,5,21,9,,,,,,,,0
3600,29/6/2025,Laura,234,75,11,,,,1,0,42,4,,,,,,,,0
3600,27/6/2025,Laura,44,27,5,,,,4,2,32,9,,,,,,,,0
